SMILES
COc1ccc(cc1)-n1ncc2c(ncnc12)N1CCc2ccccc12
O=C(CC1Nc2ccccc2NC1=O)NCCc1ccccc1
Oc1nc2ccc(cc2nc1O)S(=O)(=O)N1CCN(Cc2ccccc2)CC1
CN(C)CC(=O)N1C[C@@H]2[C@@H]([C@H](CO)N2Cc2cc(F)ccc2F)c2ccccc12
[O-][N+](=O)c1cc(ccc1Oc1ccc(Cl)cc1)-c1nnc(o1)-c1ccccc1
COC(=O)C[C@@H]1CC[C@@H]2[C@@H](COc3ccc(NC(=O)C4CC4)cc3C(=O)N2C)O1
O=C1[C@H]2CN(Cc3ccco3)C[C@H]2CN1c1cncnc1
CC(=C)Cn1cnc2c3cc4CCCCc4nc3oc2c1=O
CCN1CCN(CC1)C(=O)CCCCCn1c(=O)[nH]c2cc(ccc2c1=O)C(=O)OC
O=C(N1CCCCC1)c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1
NNC(=O)c1oc2nc(cc(-c3ccco3)c2c1N)-c1ccco1
CCCC#Cc1ccc(cc1)[C@@H]1[C@H](CO)N([C@H]1C#N)C(=O)CN1CCOCC1
CN1[C@@H]([C@@H](CO)[C@@H]2Cn3c(ccc(\C=C\c4ccccc4)c3=O)[C@H]12)C(=O)NCCCN1CCOCC1
Cc1cccc(C)c1NC(=O)CN1CCCC1=O
Fc1ccc(cc1)C(=O)N1CCC2(CCCN2c2ncccn2)CC1
CCN(CC)CCn1nc(C)nc1-c1ccccc1O
Cc1ccccc1S(=O)(=O)N1C[C@H](O)COC[C@@H]2O[C@@H](CC(O)=O)CC[C@@H]12
CN(C)CC(=O)N1CCCCN2[C@H](CO)[C@H]([C@H]2C1)c1ccc(cc1)-c1cncnc1
C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(C)(=O)=O)Oc2ncc(cc2C1=O)-c1cccnc1
CCOC(=O)c1c(C)n(C)c2ccc(OCC(O)Cn3c(C)nc4ccccc34)cc12
Cc1cc(c(C)s1)S(=O)(=O)N1CCOCC1
COCC12CCCOC1CCN(C2)c1nncs1
Clc1ccc2oc(=O)n(CCC(=O)N3CCN(Cc4ccccc4)CC3)c2c1
Nc1nonc1-c1noc(n1)N1CCCCC1
Cc1csc2nc(CNC(=O)CCC(O)=O)cn12
CCOc1ccc(cc1)-c1cc(CCCC(=O)NCc2cccnc2)no1
CCn1nc(C)cc1C(=O)N1CCC2OCCCC2(COC(C)C)C1
COCC(=O)N1C[C@]2(CN(Cc3nccs3)C2)c2c([C@@H]1CO)n(C)c1cc(OC)ccc21
C\C=C\c1ccc(cc1)[C@@H]1[C@@H](CO)N([C@@H]1CNC(=O)c1ccccc1)C(C)=O
COCCn1c(C)c(cc1-c1ccccc1)C(O)=O
CC(C)c1nnc(NC(=O)c2cnc(C)cn2)s1
CN1CCC(C1)c1nnc2ccc(cn12)C(=O)NCCc1cccs1
CCCS(=O)(=O)N1CCC2C(C[C@@H](Cn3cncn3)N2C)C1
CNC(=O)c1cnc2CN(CCn12)c1cc(ncn1)C(F)(F)F
CC1(Nc2ccccc2S1)c1ccc(cc1)[N+]([O-])=O
COc1ccc(cc1OC)C1CC(=O)c2c(N1)ccc1ccccc21
Cc1cc(C)n(CC(=O)N\N=C\c2cccs2)n1
CCSc1nnc(o1)-c1ccncc1
COCC(=O)N1[C@H](CO)[C@H](c2ccccc2)C11CN(C1)C(=O)Cc1ccccn1
Cn1cc(CC(=O)NCCN2CCOCC2)c2ccccc12
COc1cccc(c1)S(=O)(=O)N1CCCCN2[C@@H](CO)[C@H]([C@H]2C1)c1ccc(cc1)C1=CCCCC1
COc1ccc(NC(=O)COC(=O)CC23CC4CC(CC(C4)C2)C3)c(c1)[N+]([O-])=O
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O
CN1[C@@H](CO)[C@@H]2CCN([C@@H]2c2cc(Br)ccc12)C(=O)Nc1cc(F)ccc1F
CO[C@H]1CN(C)C(=O)c2cc(NC(=O)c3ccno3)ccc2OC[C@@H](C)NC[C@H]1C
O=S(=O)(NCCSc1ccccc1)c1cccs1
O=C(CCCSc1nc2ccccc2[nH]1)NC1=NCCS1
CN1CCN(Cc2c(O)c3cc(C)ccc3nc2-c2ccccc2)CC1
O=C(N1CCCn2c(C1)nc(Cn1ccnc1)cc2=O)c1cccs1
COC(=O)c1sccc1-c1ccc(o1)C(N)=O
COc1cc(CNn2nnnc2N)ccc1OCc1c(Cl)cccc1Cl
Cc1ccc(C)c(c1)N1CCN(CC1)C(=O)c1cc(cn1C)S(=O)(=O)N1CCOCC1
O=C(CN1CCCc2ccccc12)NC(=O)NCc1ccco1
CC(C)NC(=O)N1[C@H](CO)[C@H](c2ccccc2)C11CN(C1)C(=O)CN(C)C
O=C(C1CCCC1)N(C1CS(=O)(=O)C=C1)c1ccccc1
CNC(=O)COc1ccc(Cl)c2cccnc12
O=C(CCN1CCOCC1)NCCC#N
C1CCc2nnc(-c3nnc4CCCCCn34)n2CC1
OC[C@@H]1[C@@H]([C@@H]2CN(CCCCN12)C(=O)NC1CCCC1)c1ccc(cc1)-c1cccnc1
Fc1ccc(cc1)N1CCN(CC1)C(=O)c1cc(F)cc2COCOc12
